name,unit,avg,count,max,min,std,sum,allTag,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
Charts-chartjs,ms,7004.989999990165,10,10212.800000011921,3373.899999976158,1958.392448729781,70049.89999990165,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
TodoMVC-Svelte-Complex-DOM,ms,1292.7500000044702,10,1688.3999999910593,904.8000000119209,263.6498614527437,12927.500000044703,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
TodoMVC-React-Complex-DOM,ms,5726.519999992848,10,10768.20000000298,1823.7999999672174,3804.682479032659,57265.199999928474,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
React-Stockcharts-SVG,ms,10637.459999999404,10,14916.59999999404,6555.5999999940395,2800.98500578787,106374.59999999404,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
TodoMVC-Lit-Complex-DOM,ms,2047.6000000014901,10,2767.5,1622.9000000357628,402.84827029699767,20476.0000000149,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
TodoMVC-React-Redux,ms,5978.6099999964235,10,12614.60000000894,1696.3999999761581,4627.095155820784,59786.09999996424,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
Perf-Dashboard,ms,3600.2599999949334,10,9060.499999985099,2309.2000000029802,2059.170088055609,36002.599999949336,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
NewsSite-Next,ms,8407.940000003577,10,12622.799999967217,5496.100000008941,2216.899421457256,84079.40000003576,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
TodoMVC-Backbone,ms,2994.55000000298,10,5653.800000011921,1490.4000000059605,1756.450441631975,29945.500000029802,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
Score,,0.23656720905494172,10,0.31570070517121024,0.18487518720654766,0.04578933644195811,2.365672090549417,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
NewsSite-Nuxt,ms,6780.290000006557,10,10040.800000011921,5047,1574.6191761520668,67802.90000006557,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
